# inner_x, inner_y, inner_vel, center_x, center_y, center_vel, outer_x, outer_y, outer_vel, race_x, race_y, race_vel
-35.124805,-7.495547,4.193486,-35.437105,-8.076459,3.787123,-35.729119,-8.642986,3.495336,-35.212710,-7.679588,8.000000
-35.271991,-7.188949,4.615595,-35.600101,-7.774285,4.195216,-35.914100,-8.349661,3.872990,-35.547761,-7.461344,8.000000
-35.417463,-6.881680,5.050511,-35.749824,-7.465323,4.611246,-36.079450,-8.044858,4.271476,-35.872472,-7.227958,8.000000
-35.568917,-6.577298,5.488992,-35.896335,-7.154830,5.040203,-36.231556,-7.733258,4.675921,-36.030999,-7.106054,8.000000
-35.727521,-6.276545,5.924961,-36.048600,-6.847121,5.462461,-36.379317,-7.419576,5.082849,-36.340457,-6.852796,8.000000
-35.892650,-5.979362,6.266642,-36.208493,-6.543295,5.858646,-36.532599,-7.108560,5.472450,-36.640143,-6.588018,8.000000
-36.063914,-5.685648,6.490042,-36.375281,-6.243210,6.192104,-36.693989,-6.801662,5.831624,-36.786460,-6.451707,8.000000
-36.240794,-5.395293,6.419283,-36.548532,-5.946802,6.407072,-36.862684,-6.498729,6.137974,-37.072310,-6.172051,8.000000
-36.422873,-5.108167,6.522378,-36.727654,-5.653909,6.396108,-37.038165,-6.199668,6.349246,-37.349646,-5.883931,8.000000
-36.609728,-4.824127,6.663867,-36.912188,-5.364394,6.500079,-37.219779,-5.904296,6.380083,-37.619116,-5.588433,8.000000
-36.800967,-4.543020,6.813667,-37.101660,-5.078087,6.657754,-37.407007,-5.612448,6.483394,-37.751121,-5.438238,8.000000
-36.996172,-4.264653,6.979665,-37.295640,-4.794816,6.820954,-37.599326,-5.323931,6.657950,-38.010159,-5.133552,8.000000
-37.194725,-3.988665,7.132977,-37.493636,-4.514336,7.000830,-37.796262,-5.038545,6.836846,-38.263246,-4.823905,8.000000
-37.395874,-3.714562,7.249823,-37.694914,-4.236203,7.149361,-37.997214,-4.755973,7.021081,-38.387830,-4.667497,8.000000
-37.598886,-3.441838,7.334421,-37.898662,-3.959875,7.261128,-38.201327,-4.475676,7.163955,-38.633648,-4.352046,8.000000
-37.803018,-3.169951,7.407828,-38.104099,-3.684800,7.345336,-38.407740,-4.197069,7.271303,-38.875699,-4.033714,8.000000
-38.007520,-2.898341,7.484294,-38.310437,-3.410400,7.425288,-38.615622,-3.919556,7.357830,-38.995575,-3.873674,8.000000
-38.211649,-2.626452,7.551898,-38.516901,-3.136096,7.505165,-38.824145,-3.642525,7.444547,-39.233523,-3.552255,8.000000
-38.414601,-2.353682,7.606815,-38.722714,-2.861302,7.572361,-39.032518,-3.365380,7.525932,-39.469423,-3.229322,8.000000
-38.615741,-2.079574,7.649659,-38.927074,-2.585426,7.625905,-39.239924,-3.087512,7.591662,-39.586659,-3.067336,8.000000
-38.815013,-1.804105,7.678640,-39.129512,-2.308137,7.665736,-39.445626,-2.808379,7.642723,-39.819727,-2.742354,8.000000
-39.012778,-1.527552,7.687034,-39.330176,-2.029561,7.690798,-39.649379,-2.527820,7.678491,-40.050949,-2.416055,8.000000
-39.209345,-1.250146,7.689133,-39.529431,-1.749976,7.687777,-39.851480,-2.246070,7.697483,-40.280352,-2.088475,8.000000
-39.405039,-0.972123,7.718848,-39.727580,-1.469606,7.698587,-40.052268,-1.963381,7.692814,-40.394380,-1.924216,8.000000
-39.600188,-0.693718,7.770281,-39.924962,-1.188695,7.736895,-40.252059,-1.679988,7.713978,-40.621110,-1.594781,8.000000
-39.795109,-0.415154,7.823436,-40.121904,-0.907476,7.790966,-40.451199,-1.396137,7.759526,-40.846095,-1.264151,8.000000
-39.990128,-0.136657,7.863402,-40.318737,-0.626180,7.839262,-40.650017,-1.112060,7.813336,-40.957942,-1.098399,8.000000
-40.185431,0.141639,7.894693,-40.515769,-0.345024,7.875626,-40.848860,-0.828001,7.856053,-41.180364,-0.766039,8.000000
-40.381016,0.419739,7.915805,-40.713102,-0.064079,7.903458,-41.047979,-0.544135,7.889204,-41.401116,-0.432568,8.000000
-40.576868,0.697649,7.926939,-40.910715,0.216669,7.920876,-41.247396,-0.260479,7.913070,-41.510875,-0.265426,8.000000
-40.772974,0.975382,7.928678,-41.108596,0.497228,7.928690,-41.447095,0.022979,7.926749,-41.729178,0.069654,8.000000
-40.969315,1.252947,7.927058,-41.306728,0.777611,7.926848,-41.647060,0.306250,7.931005,-41.945888,0.405766,8.000000
-41.165879,1.530355,7.932104,-41.505094,1.057827,7.928955,-41.847274,0.589345,7.926777,-42.053654,0.574199,8.000000
-41.362649,1.807617,7.936757,-41.703681,1.337887,7.934159,-42.047721,0.872275,7.931424,-42.268032,0.911804,8.000000
-41.559610,2.084743,7.941659,-41.902470,1.617804,7.938900,-42.248383,1.155051,7.936306,-42.480895,1.250366,8.000000
-41.756746,2.361744,7.946492,-42.101447,1.897587,7.943889,-42.449246,1.437686,7.941284,-42.692274,1.589855,8.000000
-41.954043,2.638632,7.951324,-42.300597,2.177247,7.948752,-42.650293,1.720190,7.946270,-42.797417,1.759939,8.000000
-42.151485,2.915415,7.956176,-42.499902,2.456797,7.953669,-42.851506,2.002575,7.951215,-43.006632,2.100767,8.000000
-42.349056,3.192106,7.961015,-42.699347,2.736246,7.958568,-43.052871,2.284852,7.956192,-43.214444,2.442452,8.000000
-42.546743,3.468716,7.965865,-42.898917,3.015606,7.963472,-43.254371,2.567033,7.961149,-43.317834,2.613607,8.000000
-42.744528,3.745254,7.970707,-43.098597,3.294889,7.968375,-43.455989,2.849129,7.966114,-43.523604,2.956526,8.000000
-42.942398,4.021732,7.975553,-43.298369,3.574104,7.973273,-43.657709,3.131153,7.971070,-43.728052,3.300234,8.000000
-43.140337,4.298160,7.979955,-43.498219,3.853264,7.978127,-43.859516,3.413114,7.976028,-43.829792,3.472376,8.000000
-43.338330,4.574550,7.983388,-43.698131,4.132380,7.982002,-44.061393,3.695025,7.980329,-44.032322,3.817218,8.000000
-43.536362,4.850912,7.985852,-43.898089,4.411463,7.984898,-44.263323,3.976898,7.983640,-44.233615,4.162784,8.000000
-43.734417,5.127258,7.987341,-44.098077,4.690524,7.986810,-44.465292,4.258744,7.985958,-44.333808,4.335830,8.000000
-43.932480,5.403597,7.987873,-44.298081,4.969574,7.987749,-44.667282,4.540574,7.987287,-44.533308,4.682434,8.000000
-44.130536,5.679942,7.987408,-44.498084,5.248625,7.987698,-44.869277,4.822400,7.987632,-44.731655,5.029699,8.000000
-44.328570,5.956302,7.986017,-44.698070,5.527688,7.986674,-45.071262,5.104235,7.986966,-44.928883,5.377601,8.000000
-44.526566,6.232689,7.983584,-44.898024,5.806773,7.984681,-45.273219,5.386088,7.985361,-45.027089,5.551783,8.000000
-44.724510,6.509114,7.980259,-45.097931,6.085893,7.981628,-45.475134,5.667972,7.982648,-45.222702,5.900595,8.000000
-44.922386,6.785588,7.975989,-45.297774,6.365058,7.977862,-45.676990,5.949898,7.979197,-45.417284,6.249984,8.000000
-45.120179,7.062121,7.970787,-45.497538,6.644279,7.972518,-45.878771,6.231878,7.974320,-45.514197,6.424888,8.000000
-45.317874,7.338724,7.966715,-45.697208,6.923569,7.968469,-46.080461,6.513923,7.969747,-45.707293,6.775100,8.000000
-45.515455,7.615408,7.954268,-45.896767,7.202937,7.959691,-46.282043,6.796045,7.963569,-45.899443,7.125833,8.000000
-45.712908,7.892184,7.927213,-46.096200,7.482395,7.937062,-46.483501,7.078256,7.944912,-45.995173,7.301387,8.000000
-45.910216,8.169063,7.885173,-46.295493,7.761953,7.899579,-46.684822,7.360564,7.911508,-46.185968,7.652858,8.000000
-46.107362,8.446058,7.828396,-46.494622,8.041628,7.847521,-46.885982,7.642988,7.863632,-46.375904,8.004795,8.000000
-46.304329,8.723180,7.756558,-46.693588,8.321419,7.781011,-47.086977,7.925528,7.801688,-46.470560,8.180930,8.000000
-46.500852,9.000617,7.669532,-46.892214,8.601451,7.699561,-47.287710,8.208255,7.725283,-46.659273,8.533523,8.000000
-46.696469,9.278693,7.568143,-47.090065,8.882032,7.604627,-47.487785,8.491448,7.635555,-46.847215,8.886529,8.000000
-46.890688,9.557748,7.450244,-47.286646,9.163504,7.493489,-47.686706,8.775453,7.531375,-47.034421,9.239925,8.000000
-47.083017,9.838109,7.338224,-47.481462,9.446200,7.379464,-47.883973,9.060609,7.417852,-47.127759,9.416763,8.000000
-47.272942,10.120104,7.242077,-47.674011,9.730445,7.280022,-48.079091,9.347240,7.315956,-47.313928,9.770707,8.000000
-47.459942,10.404047,7.169284,-47.863777,10.016557,7.199680,-48.271548,9.635665,7.230131,-47.499449,10.124990,8.000000
-47.643485,10.690239,7.127096,-48.050251,10.304825,7.148539,-48.460847,9.926173,7.171167,-47.591978,10.302252,8.000000
-47.823053,10.978939,7.115293,-48.232889,10.595538,7.127412,-48.646460,10.219049,7.141875,-47.776596,10.657007,8.000000
-47.998742,11.270017,7.133751,-48.411548,10.888715,7.136035,-48.828067,10.514426,7.141825,-47.960656,11.012052,8.000000
-48.171051,11.563109,7.182696,-48.586656,11.184024,7.174411,-49.005973,10.812048,7.170954,-48.052488,11.189676,8.000000
-48.340464,11.857883,7.261349,-48.758691,11.481135,7.243042,-49.180650,11.111574,7.229823,-48.235778,11.545119,8.000000
-48.507488,12.154018,7.358077,-48.928145,11.779725,7.333690,-49.352572,11.412691,7.314270,-48.418600,11.900803,8.000000
-48.672624,12.451209,7.469321,-49.095517,12.079486,7.438326,-49.522235,11.715086,7.412685,-48.509846,12.078728,8.000000
-48.836376,12.749165,7.575060,-49.261309,12.380125,7.546313,-49.690136,12.018463,7.519959,-48.692033,12.434739,8.000000
-48.999247,13.047604,7.662790,-49.426030,12.681352,7.637615,-49.856785,12.322529,7.614538,-48.873841,12.790942,8.000000
-49.161678,13.346282,7.734936,-49.590171,12.982895,7.713799,-50.022697,12.626999,7.693745,-49.055307,13.147319,8.000000
-49.323797,13.645130,7.790366,-49.753990,13.284612,7.773992,-50.188242,12.931667,7.757984,-49.145922,13.325568,8.000000
-49.485545,13.944179,7.829667,-49.917449,13.586525,7.818270,-50.353442,13.236523,7.806542,-49.326941,13.682173,8.000000
-49.646891,14.243444,7.852769,-50.080510,13.888654,7.846701,-50.518245,13.541594,7.839643,-49.507707,14.038905,8.000000
-49.807791,14.542950,7.859685,-50.243133,14.191019,7.859107,-50.682615,13.846898,7.856945,-49.598007,14.217314,8.000000
-49.968206,14.842716,7.851443,-50.405273,14.493642,7.855486,-50.846506,14.152460,7.858216,-49.778462,14.574205,8.000000
-50.128093,15.142764,7.838701,-50.566890,14.796545,7.842704,-51.009876,14.458301,7.846652,-49.958753,14.931177,8.000000
-50.287413,15.443113,7.827219,-50.727941,15.099750,7.831177,-51.172682,14.764442,7.834631,-50.048850,15.109689,8.000000
-50.446123,15.743785,7.815034,-50.888386,15.403276,7.819099,-51.334882,15.070905,7.822812,-50.228965,15.466751,8.000000
-50.604183,16.044800,7.803208,-51.048181,15.707144,7.807179,-51.496432,15.377710,7.810755,-50.409007,15.823849,8.000000
-50.761549,16.346177,7.791129,-51.207283,16.011376,7.795201,-51.657289,15.684880,7.798884,-50.499013,16.002407,8.000000
-50.918182,16.647936,7.780056,-51.365651,16.315990,7.783679,-51.817410,15.992434,7.787083,-50.679013,16.359527,8.000000
-51.074038,16.950097,7.771342,-51.523242,16.621007,7.774429,-51.976752,16.300393,7.777347,-50.859030,16.716638,8.000000
-51.229076,17.252680,7.764836,-51.680013,16.926447,7.767396,-52.135270,16.608776,7.769869,-51.039097,17.073721,8.000000
-51.383253,17.555701,7.760622,-51.835921,17.232328,7.762639,-52.292922,16.917603,7.764642,-51.129163,17.252250,8.000000
-51.536527,17.859180,7.758665,-51.990923,17.538669,7.760143,-52.449662,17.226893,7.761683,-51.309380,17.609260,8.000000
-51.688890,18.163118,7.758977,-52.144996,17.845478,7.759909,-52.605461,17.536660,7.760977,-51.489754,17.966190,8.000000
-51.840376,18.467493,7.761554,-52.298170,18.152737,7.761933,-52.760339,17.846887,7.762529,-51.580015,18.144620,8.000000
-51.991020,18.772287,7.766420,-52.450481,18.460425,7.766244,-52.914333,18.157554,7.766355,-51.760709,18.501389,8.000000
-52.140858,19.077477,7.773481,-52.601966,18.768520,7.772759,-53.067481,18.468639,7.772409,-51.941669,18.858022,8.000000
-52.289926,19.383044,7.782957,-52.752661,19.077003,7.781636,-53.219820,18.780121,7.780748,-52.032264,19.036283,8.000000
-52.438261,19.688968,7.793702,-52.902603,19.385852,7.792262,-53.371387,19.091980,7.791167,-52.213705,19.392672,8.000000
-52.585898,19.995229,7.804353,-53.051829,19.695048,7.802915,-53.522219,19.404194,7.801838,-52.395520,19.748870,8.000000
-52.732874,20.301808,7.815050,-53.200375,20.004571,7.813594,-53.672355,19.716744,7.812496,-52.577752,20.104856,8.000000
-52.879226,20.608685,7.825718,-53.348280,20.314401,7.824268,-53.821832,20.029609,7.823175,-52.669037,20.282764,8.000000
-53.024990,20.915842,7.836387,-53.495580,20.624519,7.834937,-53.970689,20.342771,7.833846,-52.851972,20.638388,8.000000
-53.170202,21.223260,7.847051,-53.642313,20.934905,7.845615,-54.118963,20.656208,7.844537,-53.035429,20.993744,8.000000
-53.314900,21.530921,7.857696,-53.788516,21.245542,7.856279,-54.266693,20.969902,7.855219,-53.127367,21.171315,8.000000
-53.459121,21.838805,7.868343,-53.934227,21.556410,7.866949,-54.413917,21.283834,7.865911,-53.311685,21.526225,8.000000
-53.602900,22.146896,7.878978,-54.079484,21.867490,7.877615,-54.560673,21.597985,7.876608,-53.496630,21.880809,8.000000
-53.746275,22.455175,7.889605,-54.224323,22.178765,7.888278,-54.707001,21.912336,7.887308,-53.589351,22.057973,8.000000
-53.889284,22.763625,7.900225,-54.368784,22.490215,7.898940,-54.852939,22.226868,7.898013,-53.775313,22.412023,8.000000
-54.031962,23.072228,7.910834,-54.512903,22.801824,7.909598,-54.998525,22.541563,7.908720,-53.962006,22.765690,8.000000
-54.174346,23.380966,7.921435,-54.656719,23.113573,7.920254,-55.143798,22.856403,7.919432,-54.055639,22.942373,8.000000
-54.316475,23.689822,7.932032,-54.800269,23.425445,7.930912,-55.288797,23.171368,7.930150,-54.243504,23.295418,8.000000
